line,excerpt,categories,HC,claim,verified,evidence
840,\subsection{Bootstrap Stability},method_term,H,method_term:Bootstrap,H,Method: established term
842,"Bootstrap 95\% confidence intervals (2000 draws, RNG seed~42) confirm","percentage,method_term",H,method_term:Bootstrap; percentage:95\%,H,Verified: aft_anova.json
844,"Mean-stress correction (bootstrap mean 38.6\%, CI [33.3, 43.7],","percentage,method_term",H,percentage:38.6\%; method_term:bootstrap,H,Verified: aft_anova.json
845,S/N~$\approx$~14) and size-and-surface standard (bootstrap mean,method_term,H,method_term:bootstrap,H,Method: established term
846,"35.0\%, CI [30.8, 39.9], S/N~$\approx$~15) are clearly the leading",percentage,H,percentage:35.0\%,H,Verified: aft_anova.json
847,"contributors, with surface roughness a robust third (bootstrap mean",method_term,H,method_term:bootstrap,H,Method: established term
848,"23.2\%, CI [18.7, 27.4], S/N~$\approx$~10). The S--N curve source",percentage,H,percentage:23.2\%,H,Verified: aft_anova.json
849,"crosses zero (bootstrap mean $-$0.4\%, CI [$-$1.6, 1.6]),","percentage,method_term",H,method_term:bootstrap; percentage:0.4\%,H,Verified: aft_anova.json
851,"Standard~$\times$~$R_z$ interaction (bootstrap mean 3.0\%,","percentage,method_term",H,method_term:bootstrap; percentage:3.0\%,H,Verified: aft_anova.json
853,"the cumulative damage rule (bootstrap mean 0.6\%, CI [$-$0.3, 2.5])","percentage,method_term",H,percentage:0.6\%; method_term:bootstrap,H,Verified: aft_anova.json
855,The bootstrap means differ slightly from the point estimates in,method_term,H,method_term:bootstrap,H,Method: established term
856,"Table~\ref{tab:anova} (e.g., 33.7\% vs.\ 39.1\% for mean-stress","percentage,method_term",H,method_term:anova; percentage:33.7\%; percentage:39.1\%,H,Verified: aft_anova.json
857,correction) because the bootstrap distribution incorporates,method_term,H,method_term:bootstrap,H,Method: established term
859,number of bootstrap draws increases. Both representations support,method_term,H,method_term:bootstrap,H,Method: established term
860,the same qualitative ranking. The bootstrap 95\% confidence intervals,"percentage,method_term",H,method_term:bootstrap; percentage:95\%,H,Verified: aft_anova.json
861,for the three dominant factors are shown in Fig.~\ref{fig:bootstrap_ci}.,method_term,H,method_term:bootstrap,H,Method: established term
865,\includegraphics[width=0.75\textwidth]{../output/fig6_bootstrap_ci.png},method_term,H,method_term:bootstrap,H,Method: established term
866,"\caption{Bootstrap 95\% confidence intervals (2000 draws, RNG seed~42)","percentage,method_term",H,method_term:Bootstrap; percentage:95\%,H,Verified: aft_anova.json
869,reported in Table~\ref{tab:anova} are robust to resampling and not,method_term,H,method_term:anova,H,Method: established term
871,\label{fig:bootstrap_ci},method_term,H,method_term:bootstrap,H,Method: established term
878,produces a 3.2~dex spread in predicted $N_f$ ($3.3\times10^2$ to,scientific,C,scientific:3.3\times10^2,C,Claude: calculated value; verify against data source
879,"$5.8\times10^5$ cycles) for the same gear geometry, material, and load.",scientific,C,scientific:5.8\times10^5,C,Claude: calculated value; verify against data source
881,"run-out vs.\ finite-life counts. Data: full-factorial sweep, all 144",method_term,H,method_term:full-factorial,H,Method: established term
882,combinations. All life predictions use the uniform $Y_{Sa}=1.55$,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
890,"\caption{Variance decomposition. Bars show bootstrap means (2000 draws,",method_term,H,method_term:bootstrap,H,Method: established term
891,RNG seed~42); error bars are 95\% confidence intervals (percentile method).,percentage,H,percentage:95\%,H,Verified: aft_anova.json
893,Table~\ref{tab:anova}. Three factors account for 97.9\% of total,"percentage,method_term",H,method_term:anova; percentage:97.9\%,H,Verified: aft_anova.json
902,the ISO--FKM gap reaches 1.1~dex at $R_z=50~\mu$m (as-forged);,standard_claim,H,standard_claim:FKM gap reaches 1,H,Standard: from published specifications
906,All life predictions use the uniform $Y_{Sa}=1.55$ baseline.},formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
907,Data: 144-combination full-factorial sweep.},method_term,H,method_term:full-factorial,H,Method: established term
912,\subsection{Cross-Validation: Sobol' Sensitivity Analysis and Weibull-AFT},method_term,H,method_term:AFT; method_term:Sobol; method_term:Weibull,H,Method: established term
914,Two independent analyses validate the AFT decomposition results.,method_term,H,method_term:AFT,H,Method: established term
915,"First, Sobol' first-order sensitivity indices were computed on the","novelty_claim,method_term",C,novelty_claim:First; method_term:Sobol; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
916,same 144-combination dataset. Because Sobol' indices require a fully,method_term,H,method_term:Sobol,H,Method: established term
919,"truncated dataset, Sobol' attributes 11.5\% of variance to mean-stress","percentage,method_term",H,method_term:Sobol; percentage:11.5\%,H,Verified: aft_anova.json
920,"correction (vs.\ 39.1\% for AFT), 20.1\% to the standard (vs.\","percentage,method_term",H,method_term:AFT; percentage:20.1\%; percentage:39.1\%,H,Verified: aft_anova.json
921,"35.3\%), and 29.0\% to the S--N curve source (vs.\ $-$0.7\% for",percentage,H,percentage:0.7\%; percentage:35.3\%; percentage:29.0\%,H,Verified: aft_anova.json
922,AFT)---a 28~pp underestimate of the dominant factor and a 29~pp,method_term,H,method_term:AFT,H,Method: established term
924,censored-likelihood AFT is not merely an alternative to conventional,method_term,H,method_term:censored; method_term:AFT,H,Method: established term
927,censored. Discarding run-outs---as Sobol' and ANOVA both require---does,method_term,H,method_term:censored; method_term:Sobol; method_term:ANOVA,H,Method: established term
931,"Second, a Weibull-AFT model was fitted to the same full-factorial",method_term,H,method_term:AFT; method_term:full-factorial; method_term:Weibull,H,Method: established term
933,log-normal specification yields a lower AIC than the Weibull,method_term,H,method_term:Weibull; method_term:log-normal,H,Method: established term
935,"+29.7$), confirming that the log-normal distribution is the",method_term,H,method_term:log-normal,H,Method: established term
936,appropriate lifetime model for this dataset. The log-normal is,method_term,H,method_term:log-normal,H,Method: established term
939,first-order Sobol' indices for balanced factorial designs---an,"novelty_claim,method_term",C,method_term:factorial; method_term:Sobol; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
940,equivalence that does not hold under Weibull-AFT.,method_term,H,method_term:AFT; method_term:Weibull,H,Method: established term
942,These two cross-validations---Sobol' comparison and Weibull model,method_term,H,method_term:Sobol; method_term:Weibull,H,Method: established term
943,selection---are reported in full in \texttt{output/sobol\_vs\_aft.json},method_term,H,method_term:aft; method_term:sobol,H,Method: established term
944,"and \texttt{output/weibull\_aft.json}, and the analysis scripts",method_term,H,method_term:weibull; method_term:aft,H,Method: established term
945,"(\texttt{run\_sobol\_comparison.py}, \texttt{run\_weibull\_comparison.py})",method_term,H,method_term:weibull; method_term:sobol,H,Method: established term
955,explicit boundary conditions of this study: quenched-and-tempered,material_claim,H,material_claim:quenched-and-tempered,H,Material: from standards/data sheets
956,"42CrMo4, $R=0$ constant-amplitude pulsating bending, 700~N$\cdot$m,",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
957,"no residual stresses, and uniform $Y_{Sa}$ stress concentration",formula_term,H,formula_term:Y_{Sa}; formula_term:stress concentration,H,Formula: from ISO/AGMA/FKM standards
963,contribute 74.4\% of total log-variance: mean-stress correction,percentage,H,percentage:74.4\%,H,Verified: aft_anova.json
964,(39.1\%) and size-and-surface factor formulation (35.3\%;,percentage,H,percentage:35.3\%; percentage:39.1\%,H,Verified: aft_anova.json
965,quantified under the unified $Y_{Sa}$ baseline and representing a,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
968,"secondary contributor accounting for an additional 23.5\%, with the",percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
969,three terms together capturing 97.9\% of total prediction,percentage,H,percentage:97.9\%,H,Verified: aft_anova.json
975,(FKM~+~Goodman~+~as-forged $R_z$) will predict a fatigue life two orders,standard_claim,H,standard_claim:FKM~+~Goodman~+~as-forged $R_z$) will predict a fatigue life two orders,H,Standard: from published specifications
978,"load, and S--N curve. The three factors' bootstrap confidence intervals",method_term,H,method_term:bootstrap,H,Method: established term
980,but the AFT decomposition and bootstrap validation both confirm that each,method_term,H,method_term:AFT; method_term:bootstrap,H,Method: established term
989,functional-form differences produce a 39\% spread in equivalent stress.,percentage,H,percentage:39\%,H,Verified: aft_anova.json
993,"Surface roughness (23.5\%) is a first-order contributor, comparable in","percentage,novelty_claim",C,percentage:23.5\%; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
994,magnitude to the top two factors. Under the earlier ordinary-ANOVA,method_term,H,method_term:ANOVA,H,Method: established term
997,"8.5\%. The AFT censored-likelihood framework, by retaining the partial","percentage,method_term",H,percentage:8.5\%; method_term:AFT; method_term:censored,H,Verified: aft_anova.json
1005,The FKM $K_{F\sigma}$ is clamped at 0.55; the AGMA Eq.~16.1 uses a,"formula_term,standard_claim",H,formula_term:K_{F; standard_claim:FKM $K_{F\sigma}$ is clamped at 0,H,Formula: from ISO/AGMA/FKM standards
1015,Wang et al.~\cite{wang2023} conducted bending fatigue tests on 42CrMo,citation,?,citation:\cite{wang2023},?,Citation: verify description matches source
1017,"stress levels from 151 to 293~MPa, with run-out defined at $3\times10^6$",scientific,C,scientific:3\times10^6,C,Claude: calculated value; verify against data source
1031,Wang~et~al.~\cite{wang2023} report approximately~1~dex scatter in,citation,?,citation:\cite{wang2023},?,Citation: verify description matches source
1032,fatigue life at a fixed stress level for 42CrMo4 spur gears. Running,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1053,in Table~\ref{tab:anova} supports this,method_term,H,method_term:anova,H,Method: established term
1054,interpretation from the factorial-design side: at the reference,method_term,H,method_term:factorial,H,Method: established term
1056,"97.9\% of total log-variance, while the S--N curve source---the only",percentage,H,percentage:97.9\%,H,Verified: aft_anova.json
1058,$-$0.7\%. This near-zero contribution is specific to the two Waterloo,"percentage,data_source",H,data_source:Waterloo; percentage:0.7\%,H,Verified: aft_anova.json
1067,caveat. The present factorial design includes five methodological,method_term,H,method_term:factorial,H,Method: established term
1074,"included, for example, three heats of 42CrMo4 with independently",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1083,does not rely on the factor-level asymmetry of the factorial design.,method_term,H,method_term:factorial,H,Method: established term
1085,"factor (mean-stress correction, 39.1\%) against the single",percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
1086,"material-related factor (S--N curve source, $-$0.7\%) yields a ratio of",percentage,H,percentage:0.7\%,H,Verified: aft_anova.json
1092,Pagliari et al.~\cite{pagliari2025} performed single-tooth bending (STB),citation,?,citation:\cite{pagliari2025},?,Citation: verify description matches source
1093,fatigue tests on case-carburized AISI~8620 spur gears,material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
1098,high-cycle regime (over-predicting stress by $\sim$10--15\%) but may,percentage,H,percentage:15\%,H,Verified: aft_anova.json
1105,Bonaiti et al.~\cite{bonaiti2024} analyzed pulsator test data from five,citation,?,citation:\cite{bonaiti2024},?,Citation: verify description matches source
1112,0.3\% finding. Their study operates on a single methodological axis,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
1114,"five simultaneous dimensions, how is the total log-variance partitioned?",novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
1115,The factorial decomposition provides a quantitative ranking that places,method_term,H,method_term:factorial,H,Method: established term
1118,bootstrap-quantified confidence. The two studies are complementary:,method_term,H,method_term:bootstrap,H,Method: established term
1125,Glodez et al.~\cite{glodez2002} developed a computational fatigue,citation,?,citation:\cite{glodez2002},?,Citation: verify description matches source
1126,model for 42CrMo4 spur gears---the same material and the same,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1131,"among} ISO~6336, AGMA~2001, and FKM introduces large prediction spreads.",standard_claim,H,standard_claim:FKM introduces large prediction spreads,H,Standard: from published specifications
1133,Vietze et al.~\cite{vietze2024} used the ISO~6336~+~Miner pipeline as the,citation,?,citation:\cite{vietze2024},?,Citation: verify description matches source
1150,"through-hardened and case-carburized steels, (b)~the stress levels in",material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
1169,that drive how long the gear survives (ANOVA on finite-life,method_term,H,method_term:ANOVA,H,Method: established term
1175,"limit, the Standard~$\times$~Rz interaction (17.8\%) dwarfs the",percentage,H,percentage:17.8\%,H,Verified: aft_anova.json
1176,"mean-stress contribution (10.2\%). At 700~N$\cdot$m, well above the",percentage,H,percentage:10.2\%,H,Verified: aft_anova.json
1178,30.3\%. The factor ranking is therefore an operating-point-dependent,percentage,H,percentage:30.3\%,H,Verified: aft_anova.json
1185,"results at 700~N$\cdot$m, the only torque level at which the AFT",method_term,H,method_term:AFT,H,Method: established term
1196,multi-torque AFT extension identified as Phase~2 of the research,method_term,H,method_term:AFT,H,Method: established term
1200,"the standards community. First, two factors---standard choice and",novelty_claim,C,novelty_claim:First,C,Claude: novelty/gap claim
1201,mean-stress correction---together account for 74.4\% of total,percentage,H,percentage:74.4\%,H,Verified: aft_anova.json
1202,"log-variance, while surface roughness contributes a further 23.5\%.",percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
1208,"conventions across ISO, AGMA, and FKM would leave the dominant",standard_claim,H,standard_claim:FKM would leave the dominant,H,Standard: from published specifications
1234,\subsection{AFT Versus Ordinary ANOVA: Why Censored Likelihood Matters},method_term,H,method_term:AFT; method_term:ANOVA; method_term:Censored,H,Method: established term
1235,\label{sec:aft_vs_anova},method_term,H,method_term:anova; method_term:aft,H,Method: established term
1239,with consequences for the variance decomposition. Table~\ref{tab:aft_vs_anova},method_term,H,method_term:anova; method_term:aft,H,Method: established term
1240,compares the variance fractions obtained from the AFT censored-likelihood,method_term,H,method_term:AFT; method_term:censored,H,Method: established term
1241,framework with those from Sobol' first-order sensitivity analysis,"novelty_claim,method_term",C,method_term:Sobol; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
1242,"(equivalent to ordinary ANOVA for a balanced factorial design), which",method_term,H,method_term:ANOVA; method_term:factorial,H,Method: established term
1247,\caption{AFT (censored likelihood) versus Sobol'/ANOVA variance,method_term,H,method_term:AFT; method_term:Sobol; method_term:ANOVA; method_term:censored,H,Method: established term
1248,decomposition at 700~N$\cdot$m. Sobol' indices are computed on the,method_term,H,method_term:Sobol,H,Method: established term
1250,$\Delta$ indicates that AFT attributes more variance to that factor.,method_term,H,method_term:AFT,H,Method: established term
1251,The 500 and 600~N$\cdot$m levels are excluded because the AFT,method_term,H,method_term:AFT,H,Method: established term
1252,decomposition is not identified at those torque levels.\label{tab:aft_vs_anova}},method_term,H,method_term:anova; method_term:aft,H,Method: established term
1255,Factor & ANOVA/Sobol' & AFT & $\Delta$ \\,method_term,H,method_term:ANOVA; method_term:Sobol; method_term:AFT,H,Method: established term
1267,"The comparison reveals a systematic distortion. Sobol'/ANOVA, by",method_term,H,method_term:ANOVA; method_term:Sobol,H,Method: established term
1268,"discarding 64\% of the dataset, underestimates the three dominant",percentage,H,percentage:64\%,H,Verified: aft_anova.json
1271,(29.0\% vs.\ $-0.7$\% for AFT) and inflating the interaction term,"percentage,method_term",H,method_term:AFT; percentage:29.0\%,H,Verified: aft_anova.json
1272,"(27.3\% vs.\ 2.5\%). The AFT framework, by retaining the partial","percentage,method_term",H,percentage:2.5\%; percentage:27.3\%; method_term:AFT,H,Verified: aft_anova.json
1273,"information in the 92 censored observations, correctly separates the",method_term,H,method_term:censored,H,Method: established term
1278,"approximately 20\%, AFT is the only variance decomposition method that","percentage,method_term",H,method_term:AFT; percentage:20\%,H,Verified: aft_anova.json
1286,in this section are derived from the uniform-$Y_{Sa}$ baseline,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1292,"FKM's $K_f$). As demonstrated in \S\ref{sec:constraints}, the","formula_term,standard_claim",H,formula_term:K_f; standard_claim:FKM's $K_f$),H,Formula: from ISO/AGMA/FKM standards
1293,uniform-$Y_{Sa}$ assumption contributes at most $\pm$3~pp to the,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1297,"to the 42CrMo4, $m_n=3$~mm, $z_1=20$ gear at 700~N$\cdot$m",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1309,"\Delta_{\rm ISO\to FKM}  = 1.87 \pm 0.25\;\text{dex},\qquad",standard_claim,H,standard_claim:FKM}  = 1,H,Standard: from published specifications
1310,\Delta_{\rm AGMA\to FKM} = 1.21 \pm 0.24\;\text{dex},standard_claim,H,standard_claim:FKM} = 1,H,Standard: from published specifications
1315,"(ISO~$\to$~AGMA), $0.014$ (ISO~$\to$~FKM), and $0.062$",standard_claim,H,standard_claim:FKM),H,Standard: from published specifications
1316,(AGMA~$\to$~FKM). The offset between ISO and AGMA is smallest because,standard_claim,H,standard_claim:FKM),H,Standard: from published specifications
1318,use a power-law dependence on $R_z$); FKM is systematically more,standard_claim,H,standard_claim:FKM is systematically more,H,Standard: from published specifications
1319,conservative because its $K_{F\sigma}$ roughness penalty is steeper,formula_term,H,formula_term:K_{F,H,Formula: from ISO/AGMA/FKM standards
1326,"first-order engineering correction formula, valid strictly under the uniform-$Y_{Sa}$ baseline for this specific","formula_term,novelty_claim",C,formula_term:Y_{Sa}; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
1332,"N_{f,\,{\rm FKM}}  \approx N_{f,\,{\rm ISO}} \times 10^{-(1.70 + 0.004\,R_z)}",standard_claim,H,standard_claim:FKM}}  \approx N_{f,H,Standard: from published specifications
1342,"different standard, would obtain under the common $Y_{Sa}$ baseline---without re-running the full",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1343,"calculation. The coefficients are specific to the 42CrMo4, $m_n=3$~mm,",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1356,estimates that follow are specific to the through-hardened 42CrMo4,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1357,gear without residual stresses studied here. In case-carburized,material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
1362,mean-stress correction contribution (39.1\% here) would be,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
1393,"& FKM & 4.74 & [2.88, 6.89] \\",standard_claim,H,standard_claim:FKM & 4,H,Standard: from published specifications
1394,"& AGMA 2001 & 5.65 & [4.07, 7.11] \\",standard_claim,H,standard_claim:AGMA 2001 & 5,H,Standard: from published specifications
1395,"& ISO 6336 & 6.07 & [4.75, 7.50] \\",standard_claim,H,standard_claim:ISO 6336 & 6,H,Standard: from published specifications
1409,"& Waterloo \#66 ($\sigma_e=550$) & 5.48 & [3.80, 7.44] \\",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
1410,"& Waterloo \#68 ($\sigma_e=500$) & 5.53 & [2.52, 7.50] \\",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
1419,"The most conservative defensible combination---FKM standard, Goodman",standard_claim,H,standard_claim:FKM standard,H,Standard: from published specifications
1421,"S--N curve (Waterloo~\#68), and Modified Miner---predicts a median",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
1427,safety factor of $\sim$$1.9 \times 10^4$. This is three to four orders,scientific,C,scientific:1.9 \times 10^4,C,Claude: calculated value; verify against data source
1434,FKM~+~Goodman generates a predicted life approximately two orders of,standard_claim,H,standard_claim:FKM~+~Goodman generates a predicted life approximately two orders of,H,Standard: from published specifications
1452,point for safety specification drafting.,method_term,H,method_term:aft,H,Method: established term
1475,design team is tasked with sizing a through-hardened 42CrMo4 spur,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1483,Table~\ref{tab:anova} provides the quantitative basis for meeting this,method_term,H,method_term:anova,H,Method: established term
1485,"(39.1\%), size-and-surface factor formulation (35.3\%), and surface roughness",percentage,H,percentage:35.3\%; percentage:39.1\%,H,Verified: aft_anova.json
1486,grade (23.5\%)---together account for 97.9\% of the total,percentage,H,percentage:23.5\%; percentage:97.9\%,H,Verified: aft_anova.json
1494,appropriate for ductile 42CrMo4 and the least conservative of,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1496,"method-induced divergence (39.1\% of variance, Table~\ref{tab:anova}).","percentage,method_term",H,method_term:anova; percentage:39.1\%,H,Verified: aft_anova.json
1500,additional 35.3\% of variance. The sensitivity analysis in,percentage,H,percentage:35.3\%,H,Verified: aft_anova.json
1501,\S\ref{sec:constraints} confirms that the uniform-$Y_{Sa}$,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1506,calculation pipeline. This addresses the remaining 23.5\% of the,percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
1511,"After these three decisions are locked into the design specification,",method_term,H,method_term:Aft,H,Method: established term
1513,"$-$0.7\%; cumulative damage rule, 0.3\%; standard--roughness interaction,",percentage,H,percentage:0.3\%; percentage:0.7\%,H,Verified: aft_anova.json
1514,2.5\%) contribute less than 12\% of the original total variance. The,percentage,H,percentage:2.5\%; percentage:12\%,H,Verified: aft_anova.json
1520,through-hardened steel without residual stresses. For case-carburized,material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
1522,"mean-stress correction contribution (39.1\%), shifting the priority","percentage,novelty_claim",C,novelty_claim:prior; percentage:39.1\%,C,Claude: recommendation claim
1534,\item Stress concentration treatment asymmetry. The analysis,formula_term,H,formula_term:Stress concentration,H,Formula: from ISO/AGMA/FKM standards
1535,applies ISO~6336 $Y_{Sa} \approx 1.55$ to all three standards to,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1537,and FKM do not use a $Y_{Sa}$-equivalent coefficient in their,"formula_term,standard_claim",H,formula_term:Y_{Sa}; standard_claim:FKM do not use a $Y_{Sa}$-equivalent coefficient in their,H,Formula: from ISO/AGMA/FKM standards
1539,"through independent factors ($K_s$, $C_f$, $K_d$, $K_{F\sigma}$)",formula_term,H,formula_term:K_{F,H,Formula: from ISO/AGMA/FKM standards
1542,factorial decomposition interpretable. The three standards differ,method_term,H,method_term:factorial,H,Method: established term
1544,"concentration treatment (ISO's $Y_{Sa}$, AGMA's $J$, FKM's","formula_term,standard_claim",H,formula_term:Y_{Sa}; standard_claim:FKM's,H,Formula: from ISO/AGMA/FKM standards
1545,$K_f$) and (ii)~the size-and-surface factor formulations. If both,formula_term,H,formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
1546,"dimensions were varied simultaneously, the resulting",novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
1549,holding the stress concentration baseline constant and varying only,formula_term,H,formula_term:stress concentration,H,Formula: from ISO/AGMA/FKM standards
1558,ISO stress multiplier ($Y_{Fa} \cdot Y_{Sa} \cdot Y_\varepsilon,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1561,published curves) and with the mid-range of the FKM fatigue notch,standard_claim,H,standard_claim:FKM fatigue notch,H,Standard: from published specifications
1562,"factor ($K_f \approx 1.3$--1.7, estimated via the Neuber",formula_term,H,formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
1563,procedure with FKM-guideline $K_t$ values). The uniform,standard_claim,H,standard_claim:FKM-guideline $K_t$ values),H,Standard: from published specifications
1564,$Y_{Sa}=1.55$ is therefore a numerically natural common baseline,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1569,joint uncertainty in native $J$ and $K_f$ through the full AFT,"formula_term,method_term",H,method_term:AFT; formula_term:K_f,H,Method: established term
1571,mean standard-associated variance across all scenarios is 28.9\%,percentage,H,percentage:28.9\%,H,Verified: aft_anova.json
1572,(baseline 35.3\% under the uniform-$Y_{Sa}$ AFT; mean bias,"formula_term,percentage,method_term",H,method_term:AFT; formula_term:Y_{Sa}; percentage:35.3\%,H,Verified: aft_anova.json
1577,stress concentration treatment is held constant or varied across,formula_term,H,formula_term:stress concentration,H,Formula: from ISO/AGMA/FKM standards
1579,"the stress concentration coefficients, drive the divergence.",formula_term,H,formula_term:stress concentration,H,Formula: from ISO/AGMA/FKM standards
1585,baseline---are themselves a first-order contributor to the total,novelty_claim,C,novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
1587,"stress concentration treatment along its native dimension, using",formula_term,H,formula_term:stress concentration,H,Formula: from ISO/AGMA/FKM standards
1588,"FEA-derived FKM $K_f$ and digitized AGMA $J$-factor lookup, is","formula_term,standard_claim",H,standard_claim:FKM $K_f$ and digitized AGMA $J$-factor lookup; formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
1595,"chain---for instance, AGMA's geometry factor $J$ or FKM's fatigue",standard_claim,H,standard_claim:FKM's fatigue,H,Standard: from published specifications
1596,notch factor $K_f$. The reported standard-choice variance (35.3\%),"formula_term,percentage",H,formula_term:K_f; percentage:35.3\%,H,Verified: aft_anova.json
1601,"contribution of the uniform $Y_{Sa}$ simplification to 2--6~pp, but a",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
1610,up to 40~$\mu$m; FKM clamps $K_{F\sigma}$ at a minimum of 0.55;,"formula_term,standard_claim",H,formula_term:K_{F; standard_claim:FKM clamps $K_{F\sigma}$ at a minimum of 0,H,Formula: from ISO/AGMA/FKM standards
1615,term by $+0.1$~pp (from 2.5\% to 3.1\%) and leaves the standard,percentage,H,percentage:2.5\%; percentage:3.1\%,H,Verified: aft_anova.json
1622,"of $R_a$ (microinches), whereas ISO~6336 and FKM use $R_z$",standard_claim,H,standard_claim:FKM use $R_z$,H,Standard: from published specifications
1628,"(from 2.5\% at $R_z/R_a=6$ to 3.7\% at $R_z/R_a=4$), while the",percentage,H,percentage:2.5\%; percentage:3.7\%,H,Verified: aft_anova.json
1632,\item AFT model assumptions and distributional choice. The,method_term,H,method_term:AFT,H,Method: established term
1633,log-normal AFT model assumes normally distributed,method_term,H,method_term:AFT; method_term:log-normal,H,Method: established term
1637,log-normal assumption at a statistically detectable level.,method_term,H,method_term:log-normal,H,Method: established term
1639,reported in Table~\ref{tab:anova} are conditional on the,method_term,H,method_term:anova,H,Method: established term
1640,"log-normal specification, and their numerical values may shift",method_term,H,method_term:log-normal,H,Method: established term
1644,"violation is limited. First, the residual skewness is mild",novelty_claim,C,novelty_claim:First,C,Claude: novelty/gap claim
1645,($-0.44$) and the bootstrap variance fractions have narrow,method_term,H,method_term:bootstrap,H,Method: established term
1646,"confidence intervals (Table~\ref{tab:anova}), indicating that the",method_term,H,method_term:anova,H,Method: established term
1648,"Second, a Weibull-AFT model fitted to the same full-factorial",method_term,H,method_term:AFT; method_term:full-factorial; method_term:Weibull,H,Method: established term
1650,"\texttt{output/weibull\_aft.json}), confirming that the",method_term,H,method_term:weibull; method_term:aft,H,Method: established term
1651,log-normal is the better-supported parametric choice for this,method_term,H,method_term:log-normal,H,Method: established term
1657,"distributional alternatives (log-logistic, Gamma-AFT, Box-Cox",method_term,H,method_term:AFT,H,Method: established term
1660,The log-normal is retained for three further reasons: (i)~$\log_{10}(N_f)$ is the natural,method_term,H,method_term:log-normal,H,Method: established term
1662,"full-factorial design, the likelihood-ratio decomposition under",method_term,H,method_term:full-factorial,H,Method: established term
1663,log-normality is structurally equivalent to first-order Sobol',"novelty_claim,method_term",C,novelty_claim:first; method_term:Sobol; method_term:log-normal,C,"Claude: ""first-order"" claim; verify against statistical literature"
1665,Weibull- or Gamma-AFT formulations; and (iii)~Sobol' indices,method_term,H,method_term:AFT; method_term:Weibull; method_term:Sobol,H,Method: established term
1666,"cannot be computed on censored data, so AFT is not merely a",method_term,H,method_term:censored; method_term:AFT,H,Method: established term
1667,competitor to Sobol' sensitivity analysis---it is the only,method_term,H,method_term:Sobol,H,Method: established term
1669,present (\texttt{output/sobol\_vs\_aft.json}).,method_term,H,method_term:aft; method_term:sobol,H,Method: established term
1670,yields a higher AIC than the log-normal specification,method_term,H,method_term:log-normal,H,Method: established term
